,Market,Name,Price,Sale,Image
0,Westside,"Flour unbleached bread, 80 oz",$6.59 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-60538?h=200&w=240
1,Westside,"Muesli swiss regular, 32 oz",$8.69 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63013?h=200&w=240
2,Westside,"House blend ground, 12 oz",$14.99 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-71341?h=200&w=240
3,Westside,"Dark choc & oats cookies, 8.5 oz",$4.99 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-58559?h=200&w=240
4,Westside,"Sardines crosspack, 3.75 oz",$6.59 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-61840?h=200&w=240
5,Westside,"Kipper snacks, 3 oz",$2.99 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63083?h=200&w=240
6,Westside,"Cereal apple cinnamon, net wt 2.3 oz",$5.99 ,NoSale,https://wmarketnyc110st.storebyweb.com/images/placeholder.png
7,Westside,"Pita chips simply naked, 7.33 oz",$2.50 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-60145?h=200&w=240
8,Westside,"Gntr honey bear, 12 oz",$3.50 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63540?h=200&w=240
9,Westside,"Chunk lite tuna, 5 oz",$1.67 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-60395?h=200&w=240
10,Westside,"Evaporated milk, 12 oz",$2.00 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63509?h=200&w=240
11,Westside,"Pumpkin filling, 16 oz",$2.50 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63437?h=200&w=240
12,Westside,"Hazelnut spread, 13 oz",$2.50 ,OnSale Save $1.29 / ea,https://wmarketnyc110st.storebyweb.com/api/img/1000-62825?h=200&w=240
13,Westside,"Brown sugar, 16 oz",$1.79 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63314?h=200&w=240
14,Westside,"Granulated sugar, 16 oz",$1.89 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63649?h=200&w=240
15,Westside,"Dark brown sugar, 16 oz",$1.79 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63304?h=200&w=240
16,Westside,"Extra virgin olive oil, 34 oz",$11.99 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63049?h=200&w=240
17,Westside,"Table water crackers bite size, 4.25 oz",$3.50 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63043?h=200&w=240
18,Westside,"Preserves strawberry, 13 oz",$3.99 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63480?h=200&w=240
19,Westside,"Jellied cranberry sauce, 14 oz",$2.50 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-71606?h=200&w=240
20,Westside,"Marshmallows mini, 10.5 oz",$1.89 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63855?h=200&w=240
21,Westside,"Chick peas, 15.5 oz",$1.39 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-62166?h=200&w=240
22,Westside,"Restaurant tortilla chips, 13 oz",$4.29 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-60918?h=200&w=240
23,Westside,"Corn muffin mix, 8 oz",$1.00 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-62492?h=200&w=240
24,Westside,"Whole cranberry sauce, 14 oz",$2.50 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-60148?h=200&w=240
25,Westside,"Black beans, 15 oz",$1.39 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-62154?h=200&w=240
26,Westside,"All purpose flour, 32 oz",$2.59 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63208?h=200&w=240
27,Westside,"Granulated sugar, 64 oz",$4.99 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-59308?h=200&w=240
28,Westside,"Pita chips multigrain, 7.33 oz",$2.50 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-69141?h=200&w=240
29,Westside,"Swedish ginger thins, 5.25 oz",$2.50 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-62956?h=200&w=240
30,Westside,"Spaghetti, 16 oz",$2.49 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-63284?h=200&w=240
31,Westside,"Canned pumpkin, 15 oz",$2.99 ,NoSale,https://wmarketnyc110st.storebyweb.com/api/img/1000-72094?h=200&w=240
