,Name,Price,Sale,Image
0,"Tnuva Edam Cheese Sliced, 7.05 Oz",$6.49,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0140712_tnuva-emek-edam-original-sliced_125.jpeg
1,"Kitchen Collection Plastic Forks, 400...",$4.29,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0105784_kitchen-collection-kitchen-collect-plastic-forks-400-ct_125.jpeg
2,"Gogo Squeez Applesauce, Apple,...",$2.99,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0108101_materne-gogo-applesauce-apple-4-pk_125.jpeg
3,"B&G Gherkins, Kosher Dill, 32 Oz",$3.99,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0096937_bg-gerkins-32-oz_125.jpeg
4,"Pardes Farms Chopped Spinach,...",$6.49,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0108037_pardes-farms-chopped-spinach_125.jpeg
5,"Desert Valley Date Pitted Dates, 10 Oz",$2.99,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0129418_desert-valley-date-pitted-da_125.jpeg
6,"Klein's Naturals Dried Guava, 7 Oz",$5.67,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0075841_kleins-naturals-kleins-guava-disks_125.jpeg
7,"Sunsweet Prunes Bite Size, 16 Oz",$6.49,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0108582_sunsweet-prunes-bite-size_125.jpeg
8,"Egoz Walnuts, Natural Shelled, 10 Oz, Kp",$8.29,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0106501_egoz-walnuts-shelled-10-oz-passover_125.jpeg
9,"Dole Raisins, Pouch, 12 Oz, Kp",$3.99,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0101725_dole-raisins-pouch-12-oz-passover_125.jpeg
10,"Galil Sundried Tomatoes, 8 Oz",$3.99,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0112349_galil-sundried-tomatoes_125.jpeg
11,"Nutra Fig California Figs, 9 Oz",$4.99,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0103238_nutra-fig_125.jpeg
12,"Gefen Chestnuts Roasted, 5 Pk",$3.49,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0119862_gefen-chestnuts-grab-n-go_125.jpeg
13,"Dole Dates, Pouch, 8 Oz",$3.29,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0101728_dole-dates-pouch-8-oz_125.jpeg
14,"Ocean Spray Craisins, Snack Pack, 6 Pk",$2.69,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0096919_ocean-spray-craisins-snack-pack-6-ct_125.jpeg
15,"Egoz Walnuts, Natural Chopped, 10 Oz",$7.99,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0106500_egoz-walnuts-chopped-10-oz-passover_125.jpeg
16,"Egoz Almonds, Natural Sliced, 10 Oz, Kp",$8.49,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0106503_egoz-almonds-sliced-10-oz-passover_125.jpeg
17,"Haolam Shredded Pizza Cheese, 8 Oz",$3.99,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0096478_haolam-shredded-pizza-cheese-8-oz_125.jpeg
18,"Snack Factory Pretzel Crisps,...",$1.99,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0099534_the-snack-facto-pretzel-crisps-original-72-oz_125.jpeg
19,"Nassau Whole Baby Corn, 15 Oz",$1.29,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0144370_nassau-natural-nassau-whole-baby-corn_125.jpeg
20,"Ronzoni Thin Spaghetti #9, 16 Oz",$1.99,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0100606_ronzoni-thin-spaghetti-9-16-oz_125.jpeg
21,"Stella D'oro Swiss Fudge Cookies, 8 Oz",$3.69,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0101514_stella-doro-stella-dora-swiss-fudge-8-oz_125.jpeg
22,"Egoz Filberts Chopped, 6 Oz",$5.49,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0106504_egoz-filberts-chopped-6-oz-passover_125.jpeg
23,"Egoz Almonds, Natural Chopped, 6 Oz, Kp",$4.49,No Sale,https://jpg.seasonskosher.com/content/images/thumbs/0106494_egoz-chopped-almonds-6-oz-passover_125.jpeg
