,Name,Price,Sale
0,"FLOUR UNBLEACHED BREAD, 80 OZ",$6.59 / ea,NoSale
1,"MUESLI SWISS REGULAR, 32 OZ",$8.69 / ea,NoSale
2,"HOUSE BLEND GROUND, 12 OZ",$14.99 / ea,NoSale
3,"DARK CHOC & OATS COOKIES, 8.5 OZ",$4.99 / ea,NoSale
4,"SARDINES CROSSPACK, 3.75 OZ",$6.59 / ea,NoSale
5,"KIPPER SNACKS, 3 OZ",$2.99 / ea,NoSale
6,"CEREAL APPLE CINNAMON, NET WT 2.3 OZ",$5.99 / ea,NoSale
7,"GNTR HONEY BEAR, 12 OZ",$3.50 / ea,NoSale
8,"PITA CHIPS SIMPLY NAKED, 7.33 OZ",$2.50 / ea,NoSale
9,"CHUNK LITE TUNA, 5 OZ",$1.67 / ea,NoSale
10,"GRANULATED SUGAR, 16 OZ",$1.89 / ea,NoSale
11,"BROWN SUGAR, 16 OZ",$1.79 / ea,NoSale
12,"DARK BROWN SUGAR, 16 OZ",$1.79 / ea,NoSale
13,"EVAPORATED MILK, 12 OZ",$2.00 / ea,NoSale
14,"PUMPKIN FILLING, 16 OZ",$2.50 / ea,NoSale
15,"HAZELNUT SPREAD, 13 OZ",2/$5.00$2.50 / ea,OnSale Save $1.29 / ea
16,"EXTRA VIRGIN OLIVE OIL, 34 OZ",$11.99 / ea,NoSale
17,"TABLE WATER CRACKERS BITE SIZE, 4.25 OZ",$3.50 / ea,NoSale
18,"PRESERVES STRAWBERRY, 13 OZ",$3.99 / ea,NoSale
19,"CHICK PEAS, 15.5 OZ",$1.39 / ea,NoSale
20,"RESTAURANT TORTILLA CHIPS, 13 OZ",$4.29 / ea,NoSale
21,"JELLIED CRANBERRY SAUCE, 14 OZ",$2.50 / ea,NoSale
22,"MARSHMALLOWS MINI, 10.5 OZ",$1.89 / ea,NoSale
23,"CORN MUFFIN MIX, 8 OZ",$1.00 / ea,NoSale
24,"BOXED SUGAR, 32 OZ",$3.49 / ea,NoSale
25,"BROTH CHICKEN, 32 OZ",$5.19 / ea,NoSale
26,"WHITE CHEDDAR POPCORN, 8 1/2 OZ",$3.99 / ea,NoSale
27,"WHOLE CRANBERRY SAUCE, 14 OZ",$2.50 / ea,NoSale
28,"BLACK BEANS, 15 OZ",$1.39 / ea,NoSale
29,"ALL PURPOSE FLOUR, 32 OZ",$2.59 / ea,NoSale
30,"GRANULATED SUGAR, 64 OZ",$4.99 / ea,NoSale
31,"TORTILLA CHIPS HINT OF LIME, 13 OZ",$4.29 / ea,NoSale
32,"PITA CHIPS MULTIGRAIN, 7.33 OZ",$2.50 / ea,NoSale
33,"CREAM CRACKERS, 7.05 OZ",$1.67 / ea,NoSale
34,"LOW SALT BLACK BEANS, 15.5 OZ",$1.49 / ea,NoSale
35,"SWEDISH GINGER THINS, 5.25 OZ",$2.50 / ea,NoSale
36,"SPAGHETTI, 16 OZ",$2.49 / ea,NoSale
37,"CANNED PUMPKIN, 15 OZ",$2.99 / ea,NoSale
38,"CONFECTIONERS SUGAR, 16 OZ",$1.79 / ea,NoSale
39,"PENNE, 16 OZ",$2.49 / ea,NoSale
40,"REAL MAYONNAISE, 8 OZ",$3.69 / ea,NoSale
41,"BROTH VEGETABLE, 32 OZ",$4.79 / ea,NoSale
42,"AGED WHITE CHEDDAR CORN PUFFS, 4 OZ",$3.79 / ea,NoSale
43,"XXL CLASSIC, 9 OZ",$4.29 / ea,NoSale
44,"PRESERVES RASPBERRY, 13 OZ",$3.99 / ea,NoSale
45,"CHUNK LITE TUNA IN OIL, 5 OZ",$1.67 / ea,NoSale
46,"CRACKERS WHOLE WHEAT, 7.1 OZ",$3.50 / ea,NoSale
47,"BLACK BEANS, 15.5 OZ",$1.89 / ea,NoSale
48,"BROTH CHICKEN, 32 OZ",$5.19 / ea,NoSale
49,"LOW SALT CHICK PEAS, 15.5 OZ",$1.49 / ea,NoSale
50,"CHIPS AHOY COOKIES, 15.25 OZ",$3.99 / ea,NoSale
51,"SWEETENED CONDENSED MILK, 14 OZ",$3.99 / ea,NoSale
52,"ROSEMARY CRACKER, 5 OZ",$3.50 / ea,NoSale
53,"CREAM OF MUSHROOM, 10.7 OZ",$2.29 / ea,NoSale
54,"BROTH VEGETABLE, 32 OZ",$5.19 / ea,NoSale
55,"CRISPBREADS - DARK, 7 OZ",$3.69 / ea,NoSale
